index,date,symbol,price
118138,2011-01-03,A,41.560001
118139,2011-01-03,AAL,10.11
118140,2011-01-03,AAP,66.5
118141,2011-01-03,AAPL,325.640003
118142,2011-01-03,ABC,34.259997999999996
118143,2011-01-03,ABT,48.289958
118144,2011-01-03,ACN,48.66
118145,2011-01-03,ADBE,30.83
118146,2011-01-03,ADI,37.68
118147,2011-01-03,ADM,30.389999
118148,2011-01-03,ADP,46.750003
118149,2011-01-03,ADS,71.93
118150,2011-01-03,ADSK,38.630001
118151,2011-01-03,AEE,28.33
118152,2011-01-03,AEP,36.27
118153,2011-01-03,AES,12.34
118154,2011-01-03,AET,30.67
118155,2011-01-03,AFL,56.98
118156,2011-01-03,AGN,51.73
118157,2011-01-03,AIG,58.34
118158,2011-01-03,AIZ,38.830002
118159,2011-01-03,AJG,29.290001
118160,2011-01-03,AKAM,47.610001000000004
118161,2011-01-03,ALB,56.119999
118162,2011-01-03,ALK,57.5
118163,2011-01-03,ALL,32.220001
118164,2011-01-03,ALXN,81.360001
118165,2011-01-03,AMAT,14.13
118166,2011-01-03,AME,39.409999
118167,2011-01-03,AMG,100.32
118168,2011-01-03,AMGN,55.200001
118169,2011-01-03,AMP,58.220001
118170,2011-01-03,AMT,51.91
118171,2011-01-03,AMZN,181.369995
118172,2011-01-03,AN,28.459999
118173,2011-01-03,ANTM,57.09
118174,2011-01-03,AON,46.259997999999996
118175,2011-01-03,APA,120.589996
118176,2011-01-03,APC,77.33000200000001
118177,2011-01-03,APD,91.540002
118178,2011-01-03,APH,53.240002000000004
118179,2011-01-03,ARNC,15.820013000000001
118180,2011-01-03,ATVI,12.57
118181,2011-01-03,AVB,113.269997
118182,2011-01-03,AVGO,28.700001
118183,2011-01-03,AVY,42.639998999999996
118184,2011-01-03,AWK,25.49
118185,2011-01-03,AXP,43.299999
118186,2011-01-03,AYI,58.119999
118187,2011-01-03,AZO,273.48999
118188,2011-01-03,BA,66.150002
118189,2011-01-03,BAC,13.85
118190,2011-01-03,BAX,50.84
118191,2011-01-03,BBBY,49.549999
118192,2011-01-03,BBT,26.639999
118193,2011-01-03,BBY,34.099998
118194,2011-01-03,BCR,91.900002
118195,2011-01-03,BDX,85.16999799999999
118196,2011-01-03,BEN,111.970001
118197,2011-01-03,BHI,57.689999
118198,2011-01-03,BIIB,67.68
118199,2011-01-03,BK,30.469998999999998
118200,2011-01-03,BLK,191.520004
118201,2011-01-03,BLL,68.75
118202,2011-01-03,BMY,26.65
118203,2011-01-03,BSX,7.57
118204,2011-01-03,BWA,73.309998
118205,2011-01-03,BXP,86.860001
118206,2011-01-03,C,4.78
118207,2011-01-03,CA,24.709999
118208,2011-01-03,CAG,22.689999
118209,2011-01-03,CAH,38.639998999999996
118210,2011-01-03,CAT,94.379997
118211,2011-01-03,CB,62.73
118212,2011-01-03,CBG,20.68
118213,2011-01-03,CBS,19.27
118214,2011-01-03,CCI,43.900002
118215,2011-01-03,CCL,46.439999
118216,2011-01-03,CELG,59.740002000000004
118217,2011-01-03,CERN,95.269997
118218,2011-01-03,CF,136.77
118219,2011-01-03,CHD,69.110001
118220,2011-01-03,CHK,26.390003999999998
118221,2011-01-03,CHRW,80.910004
118222,2011-01-03,CHTR,39.080002
118223,2011-01-03,CI,36.860001000000004
118224,2011-01-03,CINF,32.040001000000004
118225,2011-01-03,CL,80.339996
118226,2011-01-03,CLX,61.580002
118227,2011-01-03,CMA,42.970001
118228,2011-01-03,CMCSA,22.17
118229,2011-01-03,CME,322.999992
118230,2011-01-03,CMG,215.25999500000003
118231,2011-01-03,CMI,111.08000200000001
118232,2011-01-03,CMS,18.700001
118233,2011-01-03,CNC,25.559998999999998
118234,2011-01-03,CNP,15.81
118235,2011-01-03,COF,43.009997999999996
118236,2011-01-03,COG,38.25
118237,2011-01-03,COH,54.790001000000004
118238,2011-01-03,COL,58.689999
118239,2011-01-03,COO,56.700001
118240,2011-01-03,COP,68.769949
118241,2011-01-03,COST,72.75
118242,2011-01-03,CPB,34.860001000000004
118243,2011-01-03,CRM,133.130005
118244,2011-01-03,CSCO,20.450001
118245,2011-01-03,CSX,65.109999
118246,2011-01-03,CTAS,28.200001
118247,2011-01-03,CTL,46.360001000000004
